Incident_ID,Age,Gender,Race,School_Affiliation,Shooter_Outcome,Shooter_Died,Injury
19740923CAJED,Teen,Male,,Student,Fled/Apprehended,false,None
19740923CAJED,Teen,Male,,Student,Fled/Apprehended,false,None
19740923CAJED,Teen,Male,,Student,Fled/Apprehended,false,None
19740519FLHIO,35,Male,,Intimate Relationship,Fled/Apprehended,false,None
19740510TNCHR,20,Male,,Student,Surrendered,false,None
19740402CTSTB,,,,,Fled/Escaped,false,None
19740322INBRB,17,Male,White,Student,Surrendered,false,None
19740207CAJAO,24,Male,Black,No Relation,Fled/Apprehended,false,None
19740122CALOL,15,Male,,No Relation,Fled/Apprehended,false,None
19740117ILBAC,14,Male,,Former Student,Subdued by Students/Staff/Other,false,None
19731213OHHUC,16,Male,,Student,Fled/Apprehended,false,None
19731206CAFRL,,,,Student,Fled/Apprehended,false,None
19731109CALOL,Teen,Male,,,Fled/Apprehended,false,None
19731108ILWOC,16,Male,,Student,Fled/Apprehended,false,None
19731031MONOS,18,Male,,No Relation,Fled/Apprehended,false,None
19731024MNCEM,17,Male,,Student,Fled/Apprehended,false,None
19731023OHBAB,17,Male,White,Student,Fled/Apprehended,false,None
19731023MOSUS,14,Male,,,Fled/Apprehended,false,None
19731023MOSUS,Teen,Male,,,Fled/Apprehended,false,None
19731019MOBES,14,Male,,Student,Fled/Apprehended,false,None
19731002ILELA,17,Male,,Student,Suicide,true,Suicide
19730423KYJAH,Adult,Male,,No Relation,Fled/Escaped,false,None
19730928CAWIL,16,Male,,Student,Apprehended/Killed by SRO,false,Wounded
19730501OHRAY,15,Male,,Student,Fled/Apprehended,false,None
19730405CALOL,,Male,,Student,Fled/Escaped,false,None
19730226VAARR,18,Male,Black,Student,Fled/Apprehended,false,None
19730212ALBOM,19,Male,,No Relation,Fled/Apprehended,false,None
19730131NCCUB,17,Male,,Student,Fled/Apprehended,false,None
19730118CAJOL,19,Male,,,Fled/Apprehended,false,None
19730118CAJOL,18,Male,,,Fled/Apprehended,false,None
19730105NCSOS,Teen,Male,Black,Student,Fled/Apprehended,false,None
19721129FLMIM,Teen,Male,,,Fled/Escaped,false,None
19721127MIPOP,16,Male,Black,Student,Fled/Apprehended,false,None
19721111CAJEL,Teen,Male,,Other Student,Fled/Apprehended,false,None
19721111CAJEL,Teen,Male,,Other Student,Fled/Apprehended,false,None
19720921OHTHA,18,Male,,Former Student,Fled/Apprehended,false,None
19720919TXCUH,33,Male,,Teacher,Fled/Apprehended,false,None
19720915MISAS,17,Male,,Student,Fled/Apprehended,false,None
19720914TXFRH,16,Male,,Student,Fled/Apprehended,false,None
19720505INDEI,16,Female,White,Student,Surrendered,false,None
19720504NVLIR,53,Male,White,Teacher,Fled/Escaped,false,None
19720412LAEAG,28,Male,,Teacher,Suicide,true,Suicide
